pieutiwbyo	dziwbyo	dziwbyoNguaidziw	syenjyongdziw	krenqhruadziw	nitpundziw	thongqitmra
097BF	鞿					U+97BF
097C1	韁		繮	缰		U+97C1
097D3	韓			韩		U+97D3
097D4	韔					U+97D4
097D8	韘					U+97D8
097D9	韙			韪		U+97D9
097E0	韠					U+97E0
097E1	韡					U+97E1
097F3	音					U+97F3
097FB	韻		韵			U+97FB
097FD	韽					U+97FD
097FF	響			响		U+97FF
09801	頁			页		U+9801
09802	頂			顶		U+9802
09803	頃			顷		U+9803
09805	項			项		U+9805
09806	順			顺		U+9806
09807	頇			顸		U+9807
09808	須			须		U+9808
0980A	頊			顼		U+980A
0980C	頌			颂		U+980C
09810	預			预		U+9810
09813	頓			顿		U+9813
09816	頖					U+9816
0981C	頜			颌		U+981C
09821	頡			颉		U+9821
0982E	頮					U+982E
09835	頵			𫖳		U+9835
09837	頷			颔		U+9837
0983D	頽			颓		U+983D
0984D	額			额		U+984D
09853	顓			颛		U+9853
09854	顔			颜		U+9854
09858	願			愿		U+9858
09867	顧			顾		U+9867
0986B	顫			颤		U+986B
0986C	顬			颥		U+986C
0986F	顯			显	顕	U+986F
09871	顱			颅		U+9871
098AE	颮			飑		U+98AE
098AF	颯			飒		U+98AF
098BA	颺		揚	扬		U+98BA
098BD	颽					U+98BD
098DF	食					U+98DF
098E3	飣			饤		U+98E3
098E9	飩			饨		U+98E9
098F2	飲			饮		U+98F2
098FD	飽			饱		U+98FD
09908	餈		糍			U+9908
09909	餉			饷		U+9909
0990C	餌			饵		U+990C
09913	餓			饿		U+9913
09915	餕					U+9915
09918	餘			余	余	U+9918
0991B	餛			馄		U+991B
09928	館			馆		U+9928
0992C	餬		糊			U+992C
09933	餳			饧		U+9933
09939	餹		糖			U+9939
0993A	餺					U+993A
0993B	餻		糕			U+993B
0993C	餼			饩		U+993C
09946	饆					U+9946
09949	饉			馑		U+9949
0994A	饊			馓		U+994A
0994B	饋			馈		U+994B
09951	饑			饥		U+9951
09954	饔					U+9954
09955	饕					U+9955
09957	饗			飨		U+9957
09958	饘			𫗴		U+9958
09996	首					U+9996
09997	馗					U+9997
09999	香					U+9999
099A8	馨					U+99A8
099AD	馭			驭		U+99AD
099B1	馱			驮	駄	U+99B1
099B4	馴			驯		U+99B4
099B9	馹			驲		U+99B9
099C3	駃			𫘝		U+99C3
099D1	駑			驽		U+99D1
099D2	駒			驹		U+99D2
099DF	駟			驷		U+99DF
099EA	駪			𬳽		U+99EA
099EE	駮		駁	驳		U+99EE
099F1	駱			骆		U+99F1
099FC	駼			𬳿		U+99FC
099FE	駾					U+99FE
099FF	駿			骏		U+99FF
09A00	騀					U+9A00
09A01	騁			骋		U+9A01
09A0A	騊			𫘦		U+9A0A
09A0B	騋					U+9A0B
09A0E	騎			骑		U+9A0E
09A0F	騏			骐		U+9A0F
09A2B	騫			骞		U+9A2B
09A2D	騭			骘		U+9A2D
09A30	騰			腾		U+9A30
09A35	騵			𫘪		U+9A35
09A41	驁			骜		U+9A41
09A45	驅			驱	駆	U+9A45
09A4A	驊			骅		U+9A4A
09A55	驕			骄		U+9A55
09A57	驗			验	験	U+9A57
09A5A	驚			惊		U+9A5A
09A65	驥			骥		U+9A65
09A66	驦			骦		U+9A66
09AA8	骨					U+9AA8
09AAD	骭					U+9AAD
09AB0	骰					U+9AB0
09AB8	骸					U+9AB8
09AB9	骹					U+9AB9
09ABC	骼					U+9ABC
09AC8	髈		膀			U+9AC8
09AD2	髒			脏		U+9AD2
09AD4	體			体		U+9AD4
